ID_PENJUALAN,KODE_BARANG,NAMA_BARANG,QTY,HARGASATUAN,Utility
210,0210009,GUDANG GARAM FILTER 12S,1.0,8200.0,8200.0
311,0070735,GAS 3KG,1.0,13000.0,13000.0
334,0330020,AQUA GALON 19L,1.0,10000.0,10000.0
14750,0300158,INDOMILK PUTIH397G/KL,1.0,7700.0,7700.0
14750,0040427,GERY TOYA TOYA STICK COKLAT 1,1.0,578.0,578.0
14750,0040180,GERY TOYA TOYA CKLT14G,1.0,500.0,500.0
16722,0070658,VITAZONE GRAPEBERRY 350ML,1.0,2000.0,2000.0
111,0120337,MIZONE ORANGE LIME 500ML,1.0,2650.0,2650.0
111,0200197,NANO NANO KULIT JERUK,1.0,1300.0,1300.0
297,0070735,GAS 3KG,1.0,13000.0,13000.0
154,0200245,OKKY JELLY DRINK APEL 195G,1.0,750.0,750.0
256,0070735,GAS 3KG,1.0,13000.0,13000.0
119,0070735,GAS 3KG,1.0,13000.0,13000.0
140,0070735,GAS 3KG,1.0,13000.0,13000.0
9799,0200363,ALPENLIEBE STROWBERY41G,1.0,1950.0,1950.0
138,007455,MODERN MODE PUF,1.0,3500.0,3500.0
117,0120061,POCARI PET 350ML,1.0,4400.0,4400.0
139,026058,SIKAT ETERNA,1.0,2600.0,2600.0
195,0070735,GAS 3KG,1.0,13000.0,13000.0
152,0200024,FONNUT MILK CHO 12G,1.0,550.0,550.0
128,0070735,GAS 3KG,1.0,13000.0,13000.0
165,012511,MIZONE APPLE GUAVA 500ML,1.0,2650.0,2650.0
189,0210070,RED MILD 16S,1.0,6200.0,6200.0
178,0070735,GAS 3KG,1.0,13000.0,13000.0
182,0070832,ARBAIN MADU BUNGA KARET 110ML,1.0,15500.0,15500.0
148,0120309,YAKULT,1.0,1387.5,1387.5
130,0070735,GAS 3KG,1.0,13000.0,13000.0
193,0330020,AQUA GALON 19L,1.0,10000.0,10000.0
186,008231,TEH BENDERA 50GR,1.0,2100.0,2100.0
222,024807,JF SULFUR ACNE CARE HJ 65G,1.0,4800.0,4800.0
191,0070735,GAS 3KG,1.0,13000.0,13000.0
