ID_PENJUALAN,TANGGAL,KODE_BARANG,NAMA_BARANG,QTY,HARGASATUAN,UTILITY
210,2010-06-07 20:00:10,0210009,GUDANG GARAM FILTER 12S,1.0,8200.0,8200.0
311,2010-07-07 18:39:40,0070735,GAS 3KG,1.0,13000.0,13000.0
334,2010-07-07 19:47:32,0330020,AQUA GALON 19L,1.0,10000.0,10000.0
14750,2010-03-09 10:59:58,0300158,INDOMILK PUTIH397G/KL,1.0,7700.0,7700.0
14750,2010-03-09 10:59:58,0040427,GERY TOYA TOYA STICK COKLAT 1,1.0,578.0,578.0
14750,2010-03-09 10:59:58,0040180,GERY TOYA TOYA CKLT14G,1.0,500.0,500.0
16722,2010-09-09 10:57:48,0070658,VITAZONE GRAPEBERRY 350ML,1.0,2000.0,2000.0
111,2010-05-07 13:51:16,0120337,MIZONE ORANGE LIME 500ML,1.0,2650.0,2650.0
111,2010-05-07 13:51:16,0200197,NANO NANO KULIT JERUK,1.0,1300.0,1300.0
297,2010-07-07 16:21:54,0070735,GAS 3KG,1.0,13000.0,13000.0
154,2010-06-07 10:58:05,0200245,OKKY JELLY DRINK APEL 195G,1.0,750.0,750.0
256,2010-06-07 22:16:45,0070735,GAS 3KG,1.0,13000.0,13000.0
119,2010-05-07 14:57:40,0070735,GAS 3KG,1.0,13000.0,13000.0
140,2010-06-07 09:26:10,0070735,GAS 3KG,1.0,13000.0,13000.0
9799,2010-01-01 00:00:00,0200363,ALPENLIEBE STROWBERY41G,1.0,1950.0,1950.0
138,2010-06-07 09:05:28,007455,MODERN MODE PUF,1.0,3500.0,3500.0
117,2010-05-07 14:33:16,0120061,POCARI PET 350ML,1.0,4400.0,4400.0
139,2010-06-07 09:05:46,026058,SIKAT ETERNA,1.0,2600.0,2600.0
195,2010-06-07 19:03:37,0070735,GAS 3KG,1.0,13000.0,13000.0
152,2010-06-07 10:54:44,0200024,FONNUT MILK CHO 12G,1.0,550.0,550.0
128,2010-06-07 06:30:30,0070735,GAS 3KG,1.0,13000.0,13000.0
165,2010-06-07 11:25:35,012511,MIZONE APPLE GUAVA 500ML,1.0,2650.0,2650.0
189,2010-06-07 18:40:42,0210070,RED MILD 16S,1.0,6200.0,6200.0
178,2010-06-07 18:03:01,0070735,GAS 3KG,1.0,13000.0,13000.0
182,2010-06-07 18:22:32,0070832,ARBAIN MADU BUNGA KARET 110ML,1.0,15500.0,15500.0
148,2010-06-07 10:31:31,0120309,YAKULT,1.0,1387.5,1387.5
130,2010-06-07 08:12:56,0070735,GAS 3KG,1.0,13000.0,13000.0
193,2010-06-07 18:58:10,0330020,AQUA GALON 19L,1.0,10000.0,10000.0
186,2010-06-07 18:32:26,008231,TEH BENDERA 50GR,1.0,2100.0,2100.0
222,2010-06-07 21:08:54,024807,JF SULFUR ACNE CARE HJ 65G,1.0,4800.0,4800.0
191,2010-06-07 18:45:09,0070735,GAS 3KG,1.0,13000.0,13000.0
143,2010-06-07 10:17:42,0070735,GAS 3KG,1.0,13000.0,13000.0
202,2010-06-07 19:35:51,0210036,LA LIGHTS 16S,1.0,9300.0,9300.0
214,2010-06-07 20:21:48,0210030,DJARUM SUPER 12S,1.0,8500.0,8500.0
198,2010-06-07 19:18:47,0330020,AQUA GALON 19L,1.0,10000.0,10000.0
216,2010-06-07 20:32:05,0330002,AGUARIA 600ML 24 D 6000,1.0,1500.0,1500.0
238,2010-06-07 21:26:41,029204,DOMESTOS NOMOS PROTEC 5X25G,1.0,1800.0,1800.0
219,2010-06-07 20:59:11,0070404,SWEETY BABY DIAPERS M 10S,1.0,13500.0,13500.0
225,2010-06-07 21:10:56,0230059,BOOM JERUK NIPIS160G,1.0,800.0,800.0
229,2010-06-07 21:16:06,0210071,DJARUM 76 16S,1.0,7500.0,7500.0
244,2010-06-07 21:35:13,0210036,LA LIGHTS 16S,1.0,9300.0,9300.0
230,2010-06-07 21:16:36,0330020,AQUA GALON 19L,1.0,10000.0,10000.0
231,2010-06-07 21:17:08,0330020,AQUA GALON 19L,1.0,10000.0,10000.0
232,2010-06-07 21:17:26,0210062,GUDANG GARAM PROFS 16S,1.0,9000.0,9000.0
235,2010-06-07 21:21:01,0210008,GUDANG GARAM SURYA 16S,1.0,10500.0,10500.0
179,2010-06-07 18:11:06,0210066,BINTANG BUANA FILTER 12S,1.0,4700.0,4700.0
179,2010-06-07 18:11:06,0210067,BINTANG BUANA KRETEK 12S,1.0,4200.0,4200.0
236,2010-06-07 21:21:21,0210035,LA LIGHTS MENTHOL 12S,1.0,6900.0,6900.0
281,2010-07-07 01:42:34,0210030,DJARUM SUPER 12S,1.0,8500.0,8500.0
209,2010-06-07 19:56:03,0330010,AQUA 240ML,1.0,500.0,500.0
